date,rainfall_mm,rolling3,spi3,drought_class
2000-03-01,113.17601776123047,380.31266021728516,1.1984521485289221,Normal / Wet
2000-04-01,48.646034240722656,288.43113708496094,0.8528490459107803,Normal / Wet
2000-05-01,53.87406539916992,215.69611740112305,1.3543066337602863,Normal / Wet
2000-06-01,9.894811630249023,112.4149112701416,0.8836897010518142,Normal / Wet
2000-07-01,9.042970657348633,72.81184768676758,1.3775789549166244,Normal / Wet
2000-08-01,14.206791877746582,33.14457416534424,-0.8565877171968641,Mild drought
2000-09-01,35.23634719848633,58.48610973358154,-0.4503371631814596,Mild drought
2000-10-01,87.28179168701172,136.72493076324463,0.1455303645359901,Normal / Wet
2000-11-01,140.59066772460938,263.1088066101074,0.9146182861239491,Normal / Wet
2000-12-01,111.3478775024414,339.2203369140625,0.6574820811984473,Normal / Wet
2001-01-01,77.84848022460938,329.78702545166016,-0.4149374019949963,Mild drought
2001-02-01,109.38561248779297,298.58197021484375,-1.1849676865147063,Moderate drought
2001-03-01,59.189300537109375,246.42339324951172,-1.6691175396943758,Severe drought
2001-04-01,60.11835861206055,228.6932716369629,-0.4302440798079754,Mild drought
2001-05-01,18.072710037231445,137.38036918640137,-0.6816439574814029,Mild drought
2001-06-01,8.810325622558594,87.00139427185059,0.08530308356143265,Normal / Wet
2001-07-01,9.854156494140625,36.737192153930664,-0.6010277484168774,Mild drought
2001-08-01,16.42075538635254,35.08523750305176,-0.6919510391685549,Mild drought
2001-09-01,53.37207794189453,79.6469898223877,0.4705314080824695,Normal / Wet
2001-10-01,103.56611633300781,173.35894966125488,0.9905671133426841,Normal / Wet
2001-11-01,137.75411987304688,294.6923141479492,1.4720046159073303,Normal / Wet
2001-12-01,141.7953643798828,383.1156005859375,1.32972643119948,Normal / Wet
2002-01-01,118.68536376953125,398.23484802246094,1.0568590353356782,Normal / Wet
2002-02-01,76.31803131103516,336.7987594604492,-0.3134420872867458,Mild drought
2002-03-01,64.62643432617188,259.6298294067383,-1.345305027204077,Moderate drought
2002-04-01,42.32503128051758,183.2694969177246,-1.5665607861901019,Severe drought
2002-05-01,19.703336715698242,126.6548023223877,-1.0173163045616485,Moderate drought
2002-06-01,16.886886596679688,78.91525459289551,-0.20100358452963904,Mild drought
2002-07-01,37.03485870361328,73.62508201599121,1.4137022077315047,Normal / Wet
2002-08-01,43.964569091796875,97.88631439208984,2.8888503037430833,Normal / Wet
2002-09-01,41.19744110107422,122.19686889648438,1.9189483306159223,Normal / Wet
2002-10-01,51.59312438964844,136.75513458251953,0.14628550348429167,Normal / Wet
2002-11-01,59.012577056884766,151.80314254760742,-1.5081715702240845,Severe drought
2002-12-01,132.3856964111328,242.99139785766602,-1.050770582308174,Moderate drought
2003-01-01,104.57917785644531,295.9774513244629,-1.218446921868228,Moderate drought
2003-02-01,82.30814361572266,319.2730178833008,-0.7043770869044106,Mild drought
2003-03-01,62.74894714355469,249.63626861572266,-1.5892733286183285,Severe drought
2003-04-01,37.23569107055664,182.29278182983398,-1.5930014950132243,Severe drought
2003-05-01,9.372199058532715,109.35683727264404,-1.6021784635643923,Severe drought
2003-06-01,19.600372314453125,66.20826244354248,-0.6939256268626749,Mild drought
2003-07-01,8.530115127563477,37.502686500549316,-0.5477053444740402,Mild drought
2003-08-01,17.35462188720703,45.48510932922363,0.09870066872638152,Normal / Wet
2003-09-01,41.90178680419922,67.78652381896973,-0.02200982851600268,Mild drought
2003-10-01,35.24530029296875,94.501708984375,-1.0438318436923928,Moderate drought
2003-11-01,105.3091049194336,182.45619201660156,-0.7458270901252009,Mild drought
2003-12-01,71.85438537597656,212.4087905883789,-1.6888589598823416,Severe drought
2004-01-01,139.8572540283203,317.02074432373047,-0.7115197662913844,Mild drought
2004-02-01,151.01443481445312,362.72607421875,0.2406816815564903,Normal / Wet
2004-03-01,84.3421401977539,375.21382904052734,1.1028464649168934,Normal / Wet
2004-04-01,26.419857025146484,261.7764320373535,0.30458773268661515,Normal / Wet
2004-05-01,9.605002403259277,120.36699962615967,-1.2231891694040853,Moderate drought
2004-06-01,11.518411636352539,47.5432710647583,-1.5527965158120605,Severe drought
2004-07-01,23.757963180541992,44.88137722015381,-0.06801710571662002,Mild drought
2004-08-01,14.319779396057129,49.59615421295166,0.37763805766698477,Normal / Wet
2004-09-01,45.19636154174805,83.27410411834717,0.6113587303014966,Normal / Wet
2004-10-01,47.724483489990234,107.24062442779541,-0.6524707830141953,Mild drought
2004-11-01,119.96031188964844,212.88115692138672,-0.07082142000203807,Mild drought
2004-12-01,112.85279846191406,280.53759384155273,-0.3380573607835044,Mild drought
2005-01-01,152.30035400390625,385.11346435546875,0.7885283015291794,Normal / Wet
2005-02-01,115.62962341308594,380.78277587890625,0.6111872114950513,Normal / Wet
2005-03-01,101.99433898925781,369.92431640625,1.0027573044020195,Normal / Wet
2005-04-01,31.42160415649414,249.0455665588379,0.02958812340229258,Normal / Wet
2005-05-01,11.242328643798828,144.65827178955078,-0.463861885665434,Mild drought
2005-06-01,11.259201049804688,53.923133850097656,-1.2364725637287914,Moderate drought
2005-07-01,8.156274795532227,30.657804489135742,-1.0542176060544923,Moderate drought
2005-08-01,18.6434326171875,38.058908462524414,-0.45131245775090284,Mild drought
2005-09-01,30.51409149169922,57.313798904418945,-0.5075205681566272,Mild drought
2005-10-01,65.36116790771484,114.51869201660156,-0.44294042973157965,Mild drought
2005-11-01,133.3199005126953,229.19515991210938,0.264724901469212,Normal / Wet
2005-12-01,69.6236572265625,268.30472564697266,-0.5627880514746095,Mild drought
2006-01-01,159.4617919921875,362.4053497314453,0.3094775136828788,Normal / Wet
2006-02-01,164.42636108398438,393.5118103027344,0.8654290667853268,Normal / Wet
2006-03-01,84.28672790527344,408.1748809814453,1.7065529424638697,Normal / Wet
2006-04-01,62.574398040771484,311.2874870300293,1.2969479604909315,Normal / Wet
2006-05-01,21.48209571838379,168.3432216644287,0.1976072325072073,Normal / Wet
2006-06-01,9.08564281463623,93.1421365737915,0.29105830768892976,Normal / Wet
2006-07-01,7.595168590545654,38.162907123565674,-0.5023081386394991,Mild drought
2006-08-01,40.290992736816406,56.97180414199829,0.8419847922965927,Normal / Wet
2006-09-01,45.71440887451172,93.60057020187378,0.9914422233409608,Normal / Wet
2006-10-01,92.30642700195312,178.31182861328125,1.095489561595419,Normal / Wet
2006-11-01,118.26514434814453,256.2859802246094,0.7885169526573532,Normal / Wet
2006-12-01,177.23135375976562,387.8029251098633,1.3984661311791848,Normal / Wet
2007-01-01,109.99512481689453,405.4916229248047,1.2027603292201432,Normal / Wet
2007-02-01,71.19084930419922,358.4173278808594,0.15046685931702347,Normal / Wet
2007-03-01,80.10655975341797,261.2925338745117,-1.3053363132411904,Moderate drought
2007-04-01,56.48834991455078,207.78575897216797,-0.9322253275271355,Mild drought
2007-05-01,7.783540725708008,144.37845039367676,-0.47209682872199693,Mild drought
2007-06-01,28.21858024597168,92.49047088623047,0.2696592213045628,Normal / Wet
2007-07-01,7.976031303405762,43.97815227508545,-0.1237311114971215,Mild drought
2007-08-01,14.540228843688965,50.734840393066406,0.45216936804568103,Normal / Wet
2007-09-01,36.5278205871582,59.04408073425293,-0.42339292667232137,Mild drought
2007-10-01,150.0815887451172,201.14963817596436,1.5562485643154964,Normal / Wet
2007-11-01,120.67538452148438,307.28479385375977,1.6833607442403407,Normal / Wet
2007-12-01,93.74468231201172,364.5016555786133,1.0511844740461793,Normal / Wet
2008-01-01,124.84111022949219,339.2611770629883,-0.1997755155609717,Mild drought
2008-02-01,79.55533599853516,298.14112854003906,-1.1954482290989517,Moderate drought
2008-03-01,103.09268951416016,307.4891357421875,-0.2575512635127665,Mild drought
2008-04-01,63.583736419677734,246.23176193237305,-0.03245068187459878,Mild drought
2008-05-01,18.28993034362793,184.96635627746582,0.6255799018044776,Normal / Wet
2008-06-01,18.26401138305664,100.1376781463623,0.5147675427440823,Normal / Wet
2008-07-01,8.135551452636719,44.68949317932129,-0.07978978622595359,Mild drought
2008-08-01,9.629870414733887,36.029433250427246,-0.6140906072402784,Mild drought
2008-09-01,36.068206787109375,53.83362865447998,-0.6821042779630716,Mild drought
2008-10-01,47.92398452758789,93.62206172943115,-1.0721590853087974,Moderate drought
2008-11-01,115.1894302368164,199.18162155151367,-0.36613623246217897,Mild drought
2008-12-01,126.99519348144531,290.1086082458496,-0.1667733749618428,Mild drought
2009-01-01,146.6884765625,388.8731002807617,0.8660218542536992,Normal / Wet
2009-02-01,137.11952209472656,410.8031921386719,1.2022386576118578,Normal / Wet
2009-03-01,59.1937141418457,343.00171279907227,0.47811036933965567,Normal / Wet
2009-04-01,30.21865463256836,226.53189086914062,-0.48066675842003437,Mild drought
2009-05-01,23.2982177734375,112.71058654785156,-1.4840633611586398,Moderate drought
2009-06-01,20.230981826782227,73.74785423278809,-0.3944534809921284,Mild drought
2009-07-01,8.990510940551758,52.519710540771484,0.3756190889144363,Normal / Wet
2009-08-01,31.38398551940918,60.605478286743164,1.056316263563871,Normal / Wet
2009-09-01,29.83441162109375,70.20890808105469,0.08299581238839601,Normal / Wet
2009-10-01,116.09785461425781,177.31625175476074,1.07455313669229,Normal / Wet
2009-11-01,105.74806213378906,251.68032836914062,0.7021399978262177,Normal / Wet
2009-12-01,111.5398941040039,333.3858108520508,0.5638918920236415,Normal / Wet
2010-01-01,152.69076538085938,369.97872161865234,0.4714035168712232,Normal / Wet
2010-02-01,76.02090454101562,340.2515640258789,-0.23803999417776883,Mild drought
2010-03-01,76.77656555175781,305.4882354736328,-0.3006532603577126,Mild drought
2010-04-01,58.430484771728516,211.22795486450195,-0.8473051661538445,Mild drought
2010-05-01,12.037111282348633,147.24416160583496,-0.38826381684048605,Mild drought
2010-06-01,10.088321685791016,80.55591773986816,-0.14137354269541952,Mild drought
2010-07-01,8.030550003051758,30.155982971191406,-1.0943083658936659,Moderate drought
2010-08-01,9.313838005065918,27.43270969390869,-1.3832667839900603,Moderate drought
2010-09-01,14.297082901000977,31.641470909118652,-2.0348479850298893,Extreme drought
2010-10-01,83.18917846679688,106.80009937286377,-0.665459097777111,Mild drought
2010-11-01,108.0335693359375,205.51983070373535,-0.22786728173331272,Mild drought
2010-12-01,165.17616271972656,356.39891052246094,0.9270153651219061,Normal / Wet
2011-01-01,144.37411499023438,417.58384704589844,1.4421087217888489,Normal / Wet
2011-02-01,76.41761016845703,385.96788787841797,0.7154202513403854,Normal / Wet
2011-03-01,82.36038970947266,303.15211486816406,-0.35121622758480653,Mild drought
2011-04-01,72.55108642578125,231.32908630371094,-0.36918475077003265,Mild drought
2011-05-01,24.60024642944336,179.51172256469727,0.4880621118778819,Normal / Wet
2011-06-01,19.15043067932129,116.3017635345459,0.9949545180280208,Normal / Wet
2011-07-01,26.679853439331055,70.4305305480957,1.2702842865721742,Normal / Wet
2011-08-01,21.59545135498047,67.42573547363281,1.43706286809506,Normal / Wet
2011-09-01,27.988157272338867,76.26346206665039,0.33529119570293936,Normal / Wet
2011-10-01,65.39205169677734,114.97566032409668,-0.43008916946161924,Mild drought
2011-11-01,90.77082824707031,184.15103721618652,-0.7063074858879648,Mild drought
2011-12-01,98.99060821533203,255.1534881591797,-0.812228305756668,Mild drought
2012-01-01,106.24108123779297,296.0025177001953,-1.2178288318631325,Moderate drought
2012-02-01,76.7562255859375,281.9879150390625,-1.5869362476316038,Severe drought
2012-03-01,101.36624145507812,284.3635482788086,-0.7677099762784247,Mild drought
2012-04-01,24.939308166503906,203.06177520751953,-1.0503330434145903,Moderate drought
2012-05-01,10.975849151611328,137.28139877319336,-0.6846586545991938,Mild drought
2012-06-01,14.589865684509277,50.50502300262451,-1.4024829585030492,Moderate drought
2012-07-01,8.458884239196777,34.02459907531738,-0.7963269995118335,Mild drought
2012-08-01,25.52437973022461,48.573129653930664,0.3097049057653407,Normal / Wet
2012-09-01,115.93670654296875,149.91997051239014,2.6934950601710135,Normal / Wet
2012-10-01,126.03207397460938,267.49316024780273,2.728579791064839,Normal / Wet
2012-11-01,90.26393127441406,332.2327117919922,2.0860844498325397,Normal / Wet
2012-12-01,137.06248474121094,353.3584899902344,0.8799441988671342,Normal / Wet
2013-01-01,118.8621826171875,346.1885986328125,-0.04498078699408651,Mild drought
2013-02-01,97.53491973876953,353.45958709716797,0.04576552334251426,Normal / Wet
2013-03-01,101.77647399902344,318.17357635498047,-0.03051390793368066,Mild drought
2013-04-01,50.22923278808594,249.5406265258789,0.04045476534752174,Normal / Wet
2013-05-01,20.219120025634766,172.22482681274414,0.29996582713683845,Normal / Wet
2013-06-01,11.564260482788086,82.01261329650879,-0.08910978436479275,Mild drought
2013-07-01,10.093705177307129,41.87708568572998,-0.25637632532611904,Mild drought
2013-08-01,19.010114669799805,40.66808032989502,-0.25045184338283366,Mild drought
2013-09-01,27.695083618164062,56.798903465270996,-0.5328873381298826,Mild drought
2013-10-01,94.77396392822266,141.47916221618652,0.2630525445212621,Normal / Wet
2013-11-01,95.7324447631836,218.2014923095703,0.04043496314925191,Normal / Wet
2013-12-01,136.34185791015625,326.8482666015625,0.4577284741396529,Normal / Wet
2014-01-01,92.1584243774414,324.23272705078125,-0.543008948023914,Mild drought
2014-02-01,61.50078582763672,290.0010681152344,-1.3908827041301772,Moderate drought
2014-03-01,120.1911392211914,273.85034942626953,-1.0088958193064193,Moderate drought
2014-04-01,26.62823486328125,208.32015991210938,-0.918979350585751,Mild drought
2014-05-01,11.08942985534668,157.90880393981934,-0.08557998528863947,Mild drought
2014-06-01,8.900077819824219,46.61774253845215,-1.6011116861964805,Severe drought
2014-07-01,7.856949329376221,27.84645700454712,-1.2850403508143518,Moderate drought
2014-08-01,15.58234691619873,32.33937406539917,-0.9268353237971293,Mild drought
2014-09-01,29.69657325744629,53.13586950302124,-0.7180270576034722,Mild drought
2014-10-01,51.74723434448242,97.02615451812744,-0.9635296914572221,Mild drought
2014-11-01,83.86498260498047,165.30879020690918,-1.1604337139059,Moderate drought
2014-12-01,104.86747741699219,240.47969436645508,-1.101038198361248,Moderate drought
2015-01-01,111.45289611816406,300.1853561401367,-1.115179442836586,Moderate drought
2015-02-01,77.54297637939453,293.8633499145508,-1.2976964955828123,Moderate drought
2015-03-01,108.4416732788086,297.4375457763672,-0.47601290971079246,Mild drought
2015-04-01,39.96467971801758,225.9493293762207,-0.49431258041362736,Mild drought
2015-05-01,10.21115493774414,158.6175079345703,-0.06595716243216816,Mild drought
2015-06-01,8.633001327514648,58.80883598327637,-1.011422089277356,Moderate drought
2015-07-01,16.961942672729492,35.80609893798828,-0.6669169627308484,Mild drought
2015-08-01,12.056636810302734,37.651580810546875,-0.4835021832832251,Mild drought
2015-09-01,36.064361572265625,65.08294105529785,-0.14221494219359837,Mild drought
2015-10-01,36.40584182739258,84.52684020996094,-1.3764112610806623,Moderate drought
2015-11-01,55.40750503540039,127.8777084350586,-2.1806181608078004,Extreme drought
2015-12-01,88.27237701416016,180.08572387695312,-2.4361390775106964,Extreme drought
2016-01-01,105.65412902832031,249.33401107788086,-2.436263455209325,Extreme drought
2016-02-01,94.8790054321289,288.8055114746094,-1.4198985266985604,Moderate drought
2016-03-01,82.58744812011719,283.1205825805664,-0.7959082950171789,Mild drought
2016-04-01,25.95968246459961,203.4261360168457,-1.0411574959275853,Moderate drought
2016-05-01,22.616233825683594,131.1633644104004,-0.8739494120562264,Mild drought
2016-06-01,10.953619003295898,59.5295352935791,-0.9793308651505094,Mild drought
2016-07-01,34.75234603881836,68.32219886779785,1.1733171838021632,Normal / Wet
2016-08-01,21.487836837768555,67.19380187988281,1.4245350117554128,Normal / Wet
2016-09-01,37.5656623840332,93.80584526062012,0.9987130324566558,Normal / Wet
2016-10-01,65.73204040527344,124.7855396270752,-0.1621454821720617,Mild drought
2016-11-01,126.31842803955078,229.61613082885742,0.2731697504037256,Normal / Wet
2016-12-01,98.76872253417969,290.8191909790039,-0.15420855035010564,Mild drought
2017-01-01,117.81888580322266,342.9060363769531,-0.11806992456335094,Mild drought
2017-02-01,123.8634262084961,340.45103454589844,-0.23369964186781592,Mild drought
2017-03-01,58.330345153808594,300.01265716552734,-0.41957951988247866,Mild drought
2017-04-01,44.26084899902344,226.45462036132812,-0.4824753714236672,Mild drought
2017-05-01,43.86056900024414,146.45176315307617,-0.4113338289976534,Mild drought
2017-06-01,8.404552459716797,96.52597045898438,0.40060813199103246,Normal / Wet
2017-07-01,7.406899929046631,59.67202138900757,0.7537501347848574,Normal / Wet
2017-08-01,16.057695388793945,31.869147777557373,-0.9684155531631747,Mild drought
2017-09-01,29.127864837646484,52.59246015548706,-0.7462272734597198,Mild drought
2017-10-01,72.75303649902344,117.93859672546387,-0.34758872247146966,Mild drought
2017-11-01,99.62767028808594,201.50857162475586,-0.31503484498258594,Mild drought
2017-12-01,134.87973022460938,307.26043701171875,0.1309555184451156,Normal / Wet
2018-01-01,111.39495849609375,345.90235900878906,-0.05133570563807529,Mild drought
2018-02-01,126.00584411621094,372.28053283691406,0.43821693437854004,Normal / Wet
2018-03-01,119.39999389648438,356.80079650878906,0.7502876809174642,Normal / Wet
2018-04-01,43.238807678222656,288.64464569091797,0.857102707578993,Normal / Wet
2018-05-01,41.443756103515625,204.08255767822266,1.0874346143283604,Normal / Wet
2018-06-01,9.02132511138916,93.70388889312744,0.30942527648402607,Normal / Wet
2018-07-01,8.44060230255127,58.905683517456055,0.7147114049724927,Normal / Wet
2018-08-01,30.285951614379883,47.74787902832031,0.25421001517776676,Normal / Wet
2018-09-01,53.06930160522461,91.79585552215576,0.9270676703669218,Normal / Wet
2018-10-01,49.184993743896484,132.54024696350098,0.03981367841846344,Normal / Wet
2018-11-01,66.58670806884766,168.84100341796875,-1.0727142993445098,Moderate drought
2018-12-01,117.09619140625,232.86789321899414,-1.2555912011622086,Moderate drought
2019-01-01,103.80587005615234,287.48876953125,-1.4298321981390796,Moderate drought
2019-02-01,162.09820556640625,383.0002670288086,0.6558783491506496,Normal / Wet
2019-03-01,109.82030487060547,375.72438049316406,1.1124579312227543,Normal / Wet
2019-04-01,107.45030975341797,379.3688201904297,2.505161855569986,Normal / Wet
2019-05-01,10.948113441467285,228.21872806549072,1.6317772645397244,Normal / Wet
2019-06-01,10.259927749633789,128.65835094451904,1.3333827621397092,Normal / Wet
2019-07-01,6.775756359100342,27.983797550201416,-1.2733962498813285,Moderate drought
2019-08-01,11.09009838104248,28.12578248977661,-1.3155371552776027,Moderate drought
2019-09-01,25.92845916748047,43.79431390762329,-1.2335477999244349,Moderate drought
2019-10-01,28.461793899536133,65.48035144805908,-2.0964878071029,Extreme drought
2019-11-01,109.90524291992188,164.29549598693848,-1.1858338197057692,Moderate drought
2019-12-01,112.81742858886719,251.1844654083252,-0.8892114905206446,Mild drought
2020-01-01,106.49310302734375,329.2157745361328,-0.42804233253238094,Mild drought
2020-02-01,110.18109130859375,329.4916229248047,-0.4747385568633078,Mild drought
2020-03-01,80.53852844238281,297.2127227783203,-0.48095542724411844,Mild drought
2020-04-01,72.05924224853516,262.7788619995117,0.32586008642437003,Normal / Wet
2020-05-01,6.947364330291748,159.54513502120972,-0.04036109280117978,Mild drought
2020-06-01,12.989387512207031,91.99599409103394,0.253354945321105,Normal / Wet
2020-07-01,8.891571998596191,28.82832384109497,-1.2026569730996932,Moderate drought
2020-08-01,9.245779991149902,31.126739501953125,-1.0349307225680995,Moderate drought
2020-09-01,28.85184669494629,46.98919868469238,-1.049382235170585,Moderate drought
2020-10-01,78.67513275146484,116.77275943756104,-0.3798816579158842,Mild drought
2020-11-01,150.67398071289062,258.20096015930176,0.8241307623780819,Normal / Wet
2020-12-01,131.3570098876953,360.7061233520508,0.9932487844221369,Normal / Wet
2021-01-01,145.57106018066406,427.60205078125,1.6369781998414317,Normal / Wet
2021-02-01,131.13040161132812,408.0584716796875,1.149408103848416,Normal / Wet
2021-03-01,89.70542907714844,366.4068908691406,0.9356767679864677,Normal / Wet
2021-04-01,45.255157470703125,266.0909881591797,0.3957652809590287,Normal / Wet
2021-05-01,13.785090446472168,148.74567699432373,-0.3447764796096893,Mild drought
2021-06-01,25.096860885620117,84.13710880279541,-0.013990884769665188,Mild drought
2021-07-01,7.340481281280518,46.2224326133728,0.013333602929609938,Normal / Wet
2021-08-01,21.404579162597656,53.84192132949829,0.6500779919316241,Normal / Wet
2021-09-01,49.1359977722168,77.88105821609497,0.40043154263979946,Normal / Wet
2021-10-01,72.24662017822266,142.7871971130371,0.2949250009516323,Normal / Wet
2021-11-01,76.55921936035156,197.94183731079102,-0.3935267263312072,Mild drought
2021-12-01,172.96572875976562,321.77156829833984,0.3743133248992893,Normal / Wet
2022-01-01,129.8344268798828,379.359375,0.6689500415828497,Normal / Wet
2022-02-01,92.9387435913086,395.73889923095703,0.9093502771773785,Normal / Wet
2022-03-01,90.31940460205078,313.0925750732422,-0.1378359010189171,Mild drought
2022-04-01,135.03065490722656,318.28880310058594,1.4286864719837427,Normal / Wet
2022-05-01,41.38916778564453,266.7392272949219,2.428036876500969,Normal / Wet
2022-06-01,26.064992904663086,202.48481559753418,3.015051772336156,Normal / Wet
2022-07-01,8.942352294921875,76.39651298522949,1.5349149033171632,Normal / Wet
2022-08-01,14.133399963378906,49.14074516296387,0.3475127673661873,Normal / Wet
2022-09-01,33.703006744384766,56.77875900268555,-0.5338829415546579,Mild drought
2022-10-01,99.11967468261719,146.95608139038086,0.3952326790676741,Normal / Wet
