date,ndvi,ndvi_clim,ndvi_anomaly
2000-02-01,0.24859323677083495,0.21683966589730116,0.03175357087353378
2000-03-01,0.2659629746100208,0.22515498259054706,0.040807992019473716
2000-04-01,0.27316212489467745,0.23122384282308484,0.041938282071592614
2000-05-01,0.24591438276259092,0.22366001665886692,0.022254366103724
2000-06-01,0.22107785124656731,0.2132370825824525,0.007840768664114817
2000-07-01,0.20647250755820284,0.20291293910366867,0.0035595684545341733
2000-08-01,0.19654471908468435,0.1938740543215922,0.002670664763092162
2000-09-01,0.1884889341702489,0.18526838685766894,0.003220547312579952
2000-10-01,0.18763754152694248,0.17622321699816418,0.011414324528778302
2000-11-01,0.17488084451055072,0.17174238007994094,0.0031384644306097775
2000-12-01,0.1793700955972337,0.1758335230714891,0.0035365725257445746
2001-01-01,0.1745858805874657,0.1913749575102092,-0.01678907692274348
2001-02-01,0.17848352694245873,0.21683966589730116,-0.03835613895484244
2001-03-01,0.18941044795734968,0.22515498259054706,-0.03574453463319738
2001-04-01,0.24486946938055112,0.23122384282308484,0.01364562655746629
2001-05-01,0.2665156842702418,0.22366001665886692,0.04285566761137488
2001-06-01,0.2564736847418383,0.2132370825824525,0.043236602159385795
2001-07-01,0.22558511176869625,0.20291293910366867,0.02267217266502758
2001-08-01,0.21044698603869993,0.1938740543215922,0.016572931717107747
2001-09-01,0.20795558480402274,0.18526838685766894,0.022687197946353793
2001-10-01,0.20334848272016184,0.17622321699816418,0.027125265721997666
2001-11-01,0.20378640453369473,0.17174238007994094,0.03204402445375379
2001-12-01,0.2122905460592193,0.1758335230714891,0.03645702298773018
2002-01-01,0.1968216260958347,0.1913749575102092,0.005446668585625508
2002-02-01,0.20752916721541992,0.21683966589730116,-0.009310498681881246
2002-03-01,0.23069726848049774,0.22515498259054706,0.005542285889950677
2002-04-01,0.22603936539171843,0.23122384282308484,-0.005184477431366408
2002-05-01,0.20667370306854024,0.22366001665886692,-0.01698631359032668
2002-06-01,0.20819253973219604,0.2132370825824525,-0.0050445428502564615
2002-07-01,0.20219499828243861,0.20291293910366867,-0.0007179408212300564
2002-08-01,0.19809841445956497,0.1938740543215922,0.004224360137972782
2002-09-01,0.1976515231557566,0.18526838685766894,0.012383136298087655
2002-10-01,0.18580606530552757,0.17622321699816418,0.00958284830736339
2002-11-01,0.17197372483073123,0.17174238007994094,0.0002313447507902855
2002-12-01,0.1778474507887221,0.1758335230714891,0.002013927717232994
2003-01-01,0.18462602224655192,0.1913749575102092,-0.006748935263657274
2003-02-01,0.20033801828413714,0.21683966589730116,-0.016501647613164028
2003-03-01,0.19709298337538153,0.22515498259054706,-0.02806199921516553
2003-04-01,0.20571442183475624,0.23122384282308484,-0.02550942098832859
2003-05-01,0.20143870424164873,0.22366001665886692,-0.022221312417218197
2003-06-01,0.190311684710234,0.2132370825824525,-0.022925397872218506
2003-07-01,0.17690335041792607,0.20291293910366867,-0.026009588685742602
2003-08-01,0.17049539792190108,0.1938740543215922,-0.02337865639969111
2003-09-01,0.16747504737671146,0.18526838685766894,-0.017793339480957487
2003-10-01,0.1599402987929219,0.17622321699816418,-0.016282918205242275
2003-11-01,0.15740201925366784,0.17174238007994094,-0.014340360826273102
2003-12-01,0.16486834276790935,0.1758335230714891,-0.010965180303579763
2004-01-01,0.17602718351452773,0.1913749575102092,-0.015347773995681463
2004-02-01,0.19923732219048304,0.21683966589730116,-0.017602343706818124
2004-03-01,0.21377838442999406,0.22515498259054706,-0.011376598160553003
2004-04-01,0.22652005345095888,0.23122384282308484,-0.004703789372125955
2004-05-01,0.2149501007535792,0.22366001665886692,-0.008709915905287718
2004-06-01,0.2025285895211321,0.2132370825824525,-0.010708493061320407
2004-07-01,0.1918006330910046,0.20291293910366867,-0.01111230601266408
2004-08-01,0.18349518378240243,0.1938740543215922,-0.01037887053918976
2004-09-01,0.17294463070123767,0.18526838685766894,-0.012323756156431276
2004-10-01,0.16962135157357486,0.17622321699816418,-0.0066018654245893205
2004-11-01,0.16931335088449018,0.17174238007994094,-0.002429029195450766
2004-12-01,0.16497443312350046,0.1758335230714891,-0.010859089947988648
2005-01-01,0.17481910917956361,0.1913749575102092,-0.01655584833064558
2005-02-01,0.19835446782107416,0.21683966589730116,-0.018485198076227005
2005-03-01,0.21121063959284872,0.22515498259054706,-0.013944342997698339
2005-04-01,0.2298811493689652,0.23122384282308484,-0.0013426934541196367
2005-05-01,0.22675687545026277,0.22366001665886692,0.0030968587913958456
2005-06-01,0.22202858886625523,0.2132370825824525,0.008791506283802736
2005-07-01,0.20424333903199574,0.20291293910366867,0.001330399928327064
2005-08-01,0.18921712487023903,0.1938740543215922,-0.004656929451353153
2005-09-01,0.17669307043075164,0.18526838685766894,-0.008575316426917307
2005-10-01,0.16558351419219935,0.17622321699816418,-0.010639702805964824
2005-11-01,0.16421071182519706,0.17174238007994094,-0.007531668254743884
2005-12-01,0.163176759834187,0.1758335230714891,-0.01265676323730211
2006-01-01,0.19358731521118033,0.1913749575102092,0.0022123577009711404
2006-02-01,0.2575563739915383,0.21683966589730116,0.040716708094237136
2006-03-01,0.25670140500802385,0.22515498259054706,0.031546422417476794
2006-04-01,0.24597292160527187,0.23122384282308484,0.014749078782187036
2006-05-01,0.24054091334888877,0.22366001665886692,0.01688089669002185
2006-06-01,0.23729500395725842,0.2132370825824525,0.02405792137480592
2006-07-01,0.23521942434390744,0.20291293910366867,0.03230648524023877
2006-08-01,0.2237112941732537,0.1938740543215922,0.029837239851661507
2006-09-01,0.2137628340320178,0.18526838685766894,0.028494447174348847
2006-10-01,0.2007078455493754,0.17622321699816418,0.024484628551211224
2006-11-01,0.18982925098341374,0.17174238007994094,0.0180868709034728
2006-12-01,0.18220659127578503,0.1758335230714891,0.006373068204295923
2007-01-01,0.1812743554440162,0.1913749575102092,-0.010100602066192982
2007-02-01,0.1873876566302565,0.21683966589730116,-0.029452009267044665
2007-03-01,0.18806234489240367,0.22515498259054706,-0.03709263769814339
2007-04-01,0.20364996920778053,0.23122384282308484,-0.027573873615304306
2007-05-01,0.20461125339518962,0.22366001665886692,-0.0190487632636773
2007-06-01,0.1974805642046046,0.2132370825824525,-0.01575651837784789
2007-07-01,0.1915882684069628,0.20291293910366867,-0.011324670696705869
2007-08-01,0.18823291117822863,0.1938740543215922,-0.005641143143363558
2007-09-01,0.179031599738861,0.18526838685766894,-0.006236787118807929
2007-10-01,0.17520696286859969,0.17622321699816418,-0.0010162541295644922
2007-11-01,0.18574327049348577,0.17174238007994094,0.014000890413544825
2007-12-01,0.19095724575215187,0.1758335230714891,0.015123722680662754
2008-01-01,0.21609663027633202,0.1913749575102092,0.024721672766122832
2008-02-01,0.225702861553254,0.21683966589730116,0.008863195655952838
2008-03-01,0.24129018890215648,0.22515498259054706,0.016135206311609418
2008-04-01,0.22419029219928693,0.23122384282308484,-0.007033550623797902
2008-05-01,0.214278174412132,0.22366001665886692,-0.009381842246734912
2008-06-01,0.21419126064976185,0.2132370825824525,0.0009541780673093525
2008-07-01,0.21014401526621596,0.20291293910366867,0.007231076162547284
2008-08-01,0.20470508714530466,0.1938740543215922,0.010831032823712478
2008-09-01,0.19474296407365227,0.18526838685766894,0.009474577215983326
2008-10-01,0.17958266027613107,0.17622321699816418,0.0033594432779668892
2008-11-01,0.1682805349319214,0.17174238007994094,-0.0034618451480195322
2008-12-01,0.17354008267815968,0.1758335230714891,-0.0022934403933294323
2009-01-01,0.1715735954917536,0.1913749575102092,-0.019801362018455587
2009-02-01,0.2031541995542322,0.21683966589730116,-0.01368546634306897
2009-03-01,0.24547666979756005,0.22515498259054706,0.020321687207012995
2009-04-01,0.2310084705839253,0.23122384282308484,-0.00021537223915954473
2009-05-01,0.22359348844723387,0.22366001665886692,-6.652821163305456e-05
2009-06-01,0.21504476032737135,0.2132370825824525,0.0018076777449188564
2009-07-01,0.20738081136452097,0.20291293910366867,0.004467872260852296
2009-08-01,0.19788898307699537,0.1938740543215922,0.004014928755403185
2009-09-01,0.18377764868345972,0.18526838685766894,-0.0014907381742092218
2009-10-01,0.17557386056816898,0.17622321699816418,-0.0006493564299951959
2009-11-01,0.17679723468541067,0.17174238007994094,0.005054854605469727
2009-12-01,0.17043609292716874,0.1758335230714891,-0.00539743014432037
2010-01-01,0.1919842102267159,0.1913749575102092,0.0006092527165067196
